category,name,description,external_url,detail_url,icon_url,site_id
AI写作工具,蛙蛙写作,AI小说和内容创作工具,https://wawawriter.com/app/?utm_source=aigongjuji,https://ai-bot.cn/sites/8204.html,https://ai-bot.cn/wp-content/uploads/2025/07/wawa-logo.png,8204
AI写作工具,讯飞绘文,AI批量原创，多平台矩阵号管理,https://turbodesk.xfyun.cn/?channelid=aitool1,https://ai-bot.cn/sites/6242.html,https://ai-bot.cn/wp-content/uploads/2024/08/turbodesk-logo.png,6242
AI写作工具,笔灵AI写作,600+写作模板、AI一键生成论文/小说，论文降重降AI,https://ibiling.cn/?from=ai-bot,https://ibiling.cn/?from=ai-bot,https://ai-bot.cn/wp-content/uploads/2023/07/ibiling-icon.png,3448
AI写作工具,办公小浣熊,文案生成、AI知识库创作,https://www.xiaohuanxiong.com/login?utm_source=blmay1,https://www.xiaohuanxiong.com/login?utm_source=blmay1,https://ai-bot.cn/wp-content/uploads/2023/12/sensetime-raccoon-code-icon.png,76458
AI写作工具,笔灵AI小说,AI一键写全篇+爆文拆解，搞定大纲、素材，新手写作过稿神器！,https://ibiling.cn/novel-workbench/?from=aibotnovel,https://ai-bot.cn/sites/22626.html,https://ai-bot.cn/wp-content/uploads/2024/09/biling-novel-logo.png,22626
AI写作工具,稿定AI文案,小红书、公众号、短视频AI文案生成工具,https://www.gaoding.com/utms/cd3cc3a1cb0149d3bfc4a71b5e157098,https://ai-bot.cn/sites/49483.html,https://ai-bot.cn/wp-content/uploads/2023/05/gaoding-design-icon.png,49483
AI写作工具,沁言学术,AI科研写作平台，一站式文献管理,https://app.qinyanai.com/?utm=cg&cgv=aibot,https://ai-bot.cn/sites/56573.html,https://ai-bot.cn/wp-content/uploads/2025/07/qinyanai-logo-1.png,56573
AI写作工具,Paperpal,英文论文写作助手,https://paperpal.cn/?utm_source=aibot&utm_medium=Banner&utm_campaign=Banner,https://paperpal.cn/?utm_source=aibot&utm_medium=Banner&utm_campaign=Banner,https://ai-bot.cn/wp-content/uploads/2024/01/paperpal-icon.png,7794
AI写作工具,笔目鱼,专业英文论文写作器,https://www.bmysci.com/?channelCode=aibotad,https://ai-bot.cn/sites/53972.html,https://ai-bot.cn/wp-content/uploads/2025/06/bmysci-logo.png,53972
AI写作工具,稿易AI论文,AI论文写作助手，免费生成2000字大纲,https://gaoyiai.com,https://ai-bot.cn/sites/36409.html,https://ai-bot.cn/wp-content/uploads/2025/01/gaoyiai-logo.png,36409
AI写作工具,千笔AI论文,全网首家论文无限改稿平台,https://www.qianbixiezuo.com/?pic=g5DP,https://ai-bot.cn/sites/7358.html,https://ai-bot.cn/wp-content/uploads/2024/01/aipaperpass-icon.png,7358
AI写作工具,66AI论文,高质量、低查重、低AIGC率的AI论文写作工具,https://www.66paper.cn/AI_A2E1C09,https://ai-bot.cn/sites/14679.html,https://ai-bot.cn/wp-content/uploads/2024/08/66aipaper-website.png,14679
AI写作工具,维普科创助手,维普的一站式AI科研服务平台,https://super.cqvip.com/?invite=aibot,https://ai-bot.cn/sites/60799.html,https://ai-bot.cn/wp-content/uploads/2025/08/cqvip-icon.png,60799
AI写作工具,茅茅虫,一站式AI论文写作助手,https://mymmc.cn/?fromId=954f8p78,https://ai-bot.cn/sites/7381.html,https://ai-bot.cn/wp-content/uploads/2024/01/mymmc-ai-logo.png,7381
AI写作工具,剧云,免费 AI 智能中文剧本创作平台,https://www.jucloud.com/?_f=aibot,https://ai-bot.cn/sites/79219.html,https://ai-bot.cn/wp-content/uploads/2026/06/jucloud-icon.png,79219
AI写作工具,GetDraft,得到推出的多AI专家协作AI写作工具,https://getdraft.ai/?utm_source=ai-bot.cn,https://ai-bot.cn/sites/67418.html,https://ai-bot.cn/wp-content/uploads/2025/11/GetDraft-logo1.png,67418
AI写作工具,光速写作,AI写作、PPT生成工具，单篇最长15000字,https://www.guangsuxie.com/static/college-write-web/home?from=AItools ,https://ai-bot.cn/sites/7244.html,https://ai-bot.cn/wp-content/uploads/2024/01/guangsuxie-icon.png,7244
AI写作工具,YouMind,专注提升创作效率和信息整合的AI原生工具,https://youmind.com/invite/84LX6W,https://ai-bot.cn/sites/61208.html,https://ai-bot.cn/wp-content/uploads/2025/08/YouMind-logo.png,61208
AI写作工具,万能小in,3分钟4万字150+应用，只需标题，快速生成毕业论文,https://xiaoin.com.cn/home/index?sharerUserId=1815301629231030274,https://ai-bot.cn/sites/14504.html,https://ai-bot.cn/wp-content/uploads/2025/05/xiaoin-logo-1.png,14504
AI写作工具,墨问,专为创作者设计的AI笔记工具,https://mowen.cn/?utm_source=ai-bot.cn,https://ai-bot.cn/sites/62793.html,https://ai-bot.cn/wp-content/uploads/2025/09/mowen-logo.png,62793
AI写作工具,新华妙笔,新华社推出的AI公文写作平台,https://miaobi.xinhuaskl.com/?channel=shuzhi,https://ai-bot.cn/sites/6498.html,https://ai-bot.cn/wp-content/uploads/2023/12/xinhua-miaobi-icon.png,6498
AI写作工具,丹青妙笔,专为体制内打造的AI公文写作工具,https://www.danqingmiaobi.com/?utm_source=ai-bot.cn,https://ai-bot.cn/sites/75420.html,https://ai-bot.cn/wp-content/uploads/2026/04/danqingmiaobi-icon.png,75420
